TYC,RAdeg,DEdeg,BTmag,VTmag,Const,Color
0286-01022-1,180.21829333,6.61439222,4.79,4.658,Virgo,0.13199999999999967
0287-01009-1,182.51460528,5.80696444,6.138,5.745,Virgo,0.3929999999999998
0292-00377-1,189.51846806,3.28247139,6.343,6.334,Virgo,0.009000000000000341
0294-01032-1,193.90196472,3.3975975,5.382,3.577,Virgo,1.8049999999999997
0296-00905-1,191.75954167,5.95050167,6.27,6.298,Virgo,-0.02800000000000047
0296-01051-1,190.48815111,6.80664139,5.559,5.57,Virgo,-0.01100000000000012
0300-01264-1,200.42365639,2.08737194,5.748,5.693,Virgo,0.055000000000000604
0300-01266-1,202.44633361,1.09559694,6.955,6.651,Virgo,0.30400000000000027
0302-00360-1,199.71314361,3.68766694,6.669,6.624,Virgo,0.04499999999999993
0303-01045-1,200.17334889,2.942315,6.874,6.769,Virgo,0.10499999999999954
0305-00948-1,199.40119389,5.46984583,6.958,4.976,Virgo,1.9820000000000002
0306-00269-1,200.5405325,5.15484917,6.024,5.889,Virgo,0.1349999999999998
0309-01396-1,209.11621861,1.05054806,6.168,5.926,Virgo,0.242
0310-01430-1,203.53294417,3.65902667,4.975,4.916,Virgo,0.058999999999999275
0311-01612-1,205.76614528,3.53807361,6.936,5.554,Virgo,1.3819999999999997
0314-01370-1,207.37221333,6.34390722,6.859,6.768,Virgo,0.09100000000000019
0316-01271-1,210.41159722,1.54458194,4.362,4.25,Virgo,0.1120000000000001
0317-00825-1,214.92071333,0.38436222,6.425,6.205,Virgo,0.21999999999999975
0317-01246-1,212.88030556,1.36232778,6.974,6.463,Virgo,0.5110000000000001
0317-01590-1,213.06595139,2.40949389,4.841,4.964,Virgo,-0.12300000000000022
0318-00767-1,217.46045889,0.82891083,6.161,5.987,Virgo,0.1739999999999995
0319-00290-1,210.98234194,4.90097833,6.693,6.284,Virgo,0.4089999999999998
0324-01444-1,216.04744861,5.82011583,5.259,5.112,Virgo,0.14700000000000024
0326-00417-1,221.77236389,0.97095444,6.721,6.737,Virgo,-0.016000000000000014
